Transaction ID,Customer ID,Transaction Date,Transaction Type,Amount (KES),Customer Age,Customer Segment,Account Balance (KES),Branch Location,Transaction Channel
TXN10035,CUST4369,2023-09-04,Fund Transfer,82628.75,37,Retail,263089.82,Kisumu,Online
TXN10036,CUST9684,2023-11-20,Bill Payment,78336.8,23,Corporate,266526.49,Nairobi,Mobile Banking
TXN10037,CUST3063,2023-04-13,Loan Payment,53210.75,39,Retail,458918.75,Mombasa,ATM
TXN10038,CUST1761,2023-04-27,Withdrawal,24274.13,65,Corporate,51178.02,Mombasa,ATM
TXN10039,CUST4540,2023-04-23,Fund Transfer,25210.88,66,Retail,79671.0,Mombasa,Online
TXN10040,CUST2706,2023-01-21,Fund Transfer,26664.17,68,Retail,96586.2,Nairobi,ATM
TXN10041,CUST8807,2023-12-30,Bill Payment,10959.97,23,Corporate,236473.44,Nakuru,Online
TXN10042,CUST4085,2023-01-26,Deposit,87948.16,40,Retail,202519.6,Mombasa,ATM
TXN10043,CUST4317,2023-05-03,Bill Payment,38103.62,44,SME,89405.28,Mombasa,Bank Teller
TXN10044,CUST6785,2023-04-12,Deposit,56389.87,45,SME,179579.2,Eldoret,Mobile Banking
TXN10045,CUST9151,2023-08-03,Withdrawal,51110.66,21,Retail,310041.48,Eldoret,ATM
TXN10046,CUST3825,2023-03-14,Loan Payment,93642.94,69,SME,33410.36,Kisumu,Online
TXN10047,CUST5936,2023-01-25,Deposit,3698.48,46,SME,139024.91,Nakuru,Mobile Banking
TXN10048,CUST3146,2023-02-17,Fund Transfer,40751.91,40,Corporate,91983.71,Eldoret,Mobile Banking
TXN10049,CUST2529,2023-08-23,Deposit,42360.71,50,Corporate,337486.47,Nairobi,Mobile Banking
TXN10050,CUST2218,2023-09-27,Loan Payment,85950.31,29,Retail,259061.19,Nairobi,ATM
TXN10051,CUST2815,2023-11-11,Bill Payment,56632.25,32,Retail,174377.91,Nakuru,Bank Teller
TXN10052,CUST6511,2023-10-30,Fund Transfer,96907.5,59,Retail,79293.35,Eldoret,Bank Teller
TXN10053,CUST7355,2023-04-08,Deposit,84441.83,40,SME,199933.58,Nakuru,Mobile Banking
TXN10054,CUST2411,2023-07-27,Deposit,66602.18,21,Retail,424216.1,Kisumu,ATM
TXN10055,CUST9690,2023-09-06,Fund Transfer,12166.42,54,SME,430833.39,Mombasa,Bank Teller
TXN10056,CUST8690,2023-11-17,Fund Transfer,9688.44,23,Retail,339779.09,Eldoret,ATM
TXN10057,CUST5482,2023-11-11,Withdrawal,84837.94,42,Corporate,360431.67,Nairobi,Online
TXN10058,CUST1281,2023-09-14,Fund Transfer,5174.31,28,SME,194535.04,Mombasa,Online
TXN10059,CUST7048,2023-12-23,Bill Payment,65503.31,46,SME,415496.28,Nairobi,Bank Teller
TXN10060,CUST4388,2023-10-14,Fund Transfer,25327.91,51,Retail,220702.86,Nairobi,Online
TXN10061,CUST6878,2023-01-07,Bill Payment,11813.19,21,SME,384036.43,Mombasa,Mobile Banking
TXN10062,CUST7915,2023-11-25,Loan Payment,2300.62,61,Corporate,348308.3,Mombasa,Online
TXN10063,CUST6461,2023-06-29,Loan Payment,67341.5,43,SME,301991.89,Mombasa,Online
TXN10064,CUST8262,2023-07-29,Bill Payment,70961.87,41,SME,5140.8,Nairobi,ATM
TXN10065,CUST4367,2023-05-12,Withdrawal,91845.77,38,Corporate,283368.63,Kisumu,Mobile Banking
TXN10066,CUST1932,2023-10-08,Fund Transfer,65278.91,60,SME,376932.54,Nakuru,Bank Teller
TXN10067,CUST3675,2023-10-28,Bill Payment,23611.05,40,Retail,97139.3,Mombasa,Online
TXN10068,CUST6816,2023-12-25,Bill Payment,7450.7,34,Retail,434949.85,Eldoret,Online
TXN10069,CUST9199,2023-06-13,Withdrawal,37724.42,53,Retail,244711.46,Nakuru,Online
TXN10070,CUST1958,2023-04-19,Fund Transfer,26264.0,25,SME,128736.62,Eldoret,Mobile Banking
TXN10071,CUST8525,2023-04-21,Loan Payment,61475.44,62,SME,487370.51,Mombasa,ATM
TXN10072,CUST8862,2023-05-26,Bill Payment,31451.75,18,Retail,33516.26,Eldoret,Online
TXN10073,CUST4805,2023-10-07,Bill Payment,39877.05,22,SME,253453.91,Kisumu,Mobile Banking
TXN10074,CUST3676,2023-03-02,Loan Payment,27653.05,68,SME,21749.82,Mombasa,ATM
TXN10075,CUST3346,2023-02-26,Bill Payment,62530.29,42,Corporate,316835.38,Nakuru,Online
TXN10076,CUST9033,2023-07-10,Withdrawal,91847.16,18,SME,160784.38,Kisumu,Online
TXN10077,CUST8689,2023-06-25,Fund Transfer,33796.29,68,SME,172814.67,Nakuru,Mobile Banking
TXN10078,CUST4667,2023-10-14,Bill Payment,28948.78,63,Retail,137241.34,Kisumu,Bank Teller
TXN10079,CUST7606,2023-05-17,Deposit,31649.79,20,SME,346567.09,Eldoret,Bank Teller
TXN10080,CUST1787,2023-03-08,Loan Payment,75245.29,41,Corporate,21400.24,Kisumu,Online
TXN10081,CUST4892,2023-11-28,Loan Payment,42157.78,41,Corporate,166514.39,Nairobi,Bank Teller
TXN10082,CUST6559,2023-08-14,Fund Transfer,87202.85,35,SME,274923.73,Eldoret,Online
TXN10083,CUST1187,2023-05-11,Fund Transfer,97640.74,62,SME,172390.39,Nairobi,ATM
TXN10084,CUST3365,2023-10-23,Fund Transfer,32418.21,58,Retail,218154.76,Eldoret,Mobile Banking
TXN10085,CUST5678,2023-02-18,Bill Payment,97601.84,52,Corporate,112216.08,Nairobi,ATM
TXN10086,CUST3303,2023-03-17,Loan Payment,79816.06,32,Retail,436293.36,Kisumu,Online
TXN10087,CUST6300,2023-10-25,Loan Payment,2489.88,47,Retail,176675.92,Mombasa,Bank Teller
TXN10088,CUST2069,2023-07-15,Fund Transfer,8987.11,31,Retail,454225.06,Mombasa,Bank Teller
TXN10089,CUST6714,2023-08-09,Withdrawal,83472.9,43,Retail,273652.7,Eldoret,ATM
TXN10090,CUST4280,2023-10-04,Withdrawal,16200.03,45,Retail,416173.18,Mombasa,Mobile Banking
TXN10091,CUST9365,2023-03-03,Withdrawal,89972.93,69,Corporate,498560.08,Mombasa,Mobile Banking
TXN10092,CUST3345,2023-09-28,Bill Payment,36346.29,40,Corporate,265639.49,Eldoret,Mobile Banking
TXN10093,CUST6902,2023-12-04,Bill Payment,65444.87,21,Corporate,328461.44,Eldoret,Mobile Banking
TXN10094,CUST4568,2023-06-13,Withdrawal,87737.56,57,Corporate,271192.22,Mombasa,Online
TXN10095,CUST3736,2023-11-10,Bill Payment,94411.65,41,Retail,490551.71,Mombasa,Mobile Banking
TXN10096,CUST9351,2023-05-26,Loan Payment,57081.34,61,Corporate,159636.93,Nakuru,Bank Teller
TXN10097,CUST9044,2023-01-17,Fund Transfer,29551.81,39,SME,143511.23,Nairobi,Bank Teller
TXN10098,CUST4445,2023-09-05,Deposit,26852.9,49,Corporate,240152.33,Mombasa,Bank Teller
TXN10099,CUST8983,2023-05-22,Fund Transfer,74035.23,31,SME,418547.86,Mombasa,Bank Teller
TXN10100,CUST5074,2023-06-13,Loan Payment,6403.52,56,Retail,134862.41,Nakuru,ATM
TXN10101,CUST6674,2023-02-24,Bill Payment,95262.55,67,Corporate,236637.81,Kisumu,Online
TXN10102,CUST8832,2023-07-21,Fund Transfer,71438.86,27,SME,477254.58,Kisumu,Mobile Banking
TXN10103,CUST9440,2023-11-15,Bill Payment,56399.53,41,SME,496552.71,Nairobi,Bank Teller
TXN10104,CUST3184,2023-02-07,Bill Payment,55580.62,66,SME,416444.12,Nakuru,Bank Teller
TXN10105,CUST8727,2023-12-12,Deposit,52330.26,51,SME,257596.99,Nairobi,ATM
TXN10106,CUST2424,2023-11-05,Deposit,59266.05,36,SME,250338.95,Kisumu,ATM
TXN10107,CUST4575,2024-01-01,Bill Payment,84394.57,24,SME,279792.26,Mombasa,ATM
TXN10108,CUST5815,2023-07-19,Bill Payment,7413.26,22,Corporate,307649.89,Nakuru,ATM
TXN10109,CUST1499,2023-05-29,Withdrawal,98026.06,30,SME,426523.22,Nairobi,ATM
TXN10110,CUST4901,2023-10-07,Withdrawal,64168.82,37,Corporate,419601.55,Kisumu,Online
TXN10111,CUST2298,2023-11-18,Deposit,27547.89,19,SME,86493.55,Nakuru,Online
TXN10112,CUST2175,2023-08-27,Withdrawal,59576.47,30,Retail,478012.79,Kisumu,Bank Teller
TXN10113,CUST3280,2023-04-17,Bill Payment,86722.25,51,Retail,485946.7,Eldoret,ATM
TXN10114,CUST8666,2023-10-15,Bill Payment,25062.54,67,Corporate,235642.54,Eldoret,Bank Teller
TXN10115,CUST1276,2023-07-06,Fund Transfer,14774.5,52,Corporate,255875.16,Nakuru,Bank Teller
TXN10116,CUST5659,2023-12-23,Loan Payment,66381.04,27,Corporate,438787.41,Kisumu,ATM
TXN10117,CUST5295,2023-04-23,Loan Payment,8569.07,37,SME,248193.02,Nakuru,Mobile Banking
TXN10118,CUST3054,2023-11-25,Loan Payment,35829.19,25,SME,249406.76,Nakuru,Mobile Banking
TXN10119,CUST5596,2023-03-03,Withdrawal,94085.63,44,SME,277912.55,Eldoret,Mobile Banking
TXN10120,CUST4144,2023-06-30,Withdrawal,1497.67,18,Corporate,257916.16,Mombasa,Online
TXN10121,CUST6956,2023-05-01,Withdrawal,33830.02,38,SME,162358.6,Nakuru,Mobile Banking
TXN10122,CUST5590,2023-05-23,Withdrawal,66837.13,33,Retail,477237.94,Nairobi,ATM
TXN10123,CUST1831,2023-05-04,Deposit,77640.93,64,Corporate,481184.56,Mombasa,Online
TXN10124,CUST6654,2023-04-23,Fund Transfer,38902.98,36,Corporate,51919.41,Nakuru,ATM
TXN10125,CUST4549,2023-09-09,Bill Payment,56737.61,47,Retail,11788.15,Nakuru,ATM
TXN10126,CUST5157,2023-11-05,Bill Payment,93253.34,67,Corporate,364136.86,Eldoret,Mobile Banking
TXN10127,CUST8353,2023-10-18,Fund Transfer,55409.54,69,Retail,432297.05,Eldoret,Bank Teller
TXN10128,CUST6497,2023-09-26,Deposit,53009.84,55,SME,488868.46,Nakuru,ATM
TXN10129,CUST6239,2023-09-19,Loan Payment,72127.6,31,Corporate,248246.15,Kisumu,Mobile Banking
TXN10130,CUST6868,2023-05-26,Deposit,42749.84,22,Retail,461582.28,Eldoret,Online
TXN10131,CUST9547,2023-12-02,Fund Transfer,48655.82,40,Retail,424411.63,Eldoret,ATM
TXN10132,CUST8835,2023-09-30,Deposit,72324.07,42,Retail,302666.57,Mombasa,Online
TXN10133,CUST1242,2023-09-27,Fund Transfer,94340.25,33,SME,406400.41,Nakuru,ATM
TXN10134,CUST7854,2023-11-24,Withdrawal,47797.4,19,Retail,325056.42,Eldoret,Bank Teller
TXN10135,CUST8800,2023-07-30,Fund Transfer,43638.19,52,Retail,270294.22,Mombasa,Online
TXN10136,CUST5582,2023-12-01,Deposit,88634.16,28,Retail,62912.33,Mombasa,Bank Teller
TXN10137,CUST8883,2023-09-06,Deposit,45707.73,40,SME,141271.14,Kisumu,ATM
TXN10138,CUST3068,2023-02-06,Withdrawal,60870.11,53,Corporate,133773.04,Kisumu,Mobile Banking
TXN10139,CUST7662,2023-10-07,Loan Payment,92417.09,51,Retail,408899.42,Kisumu,Bank Teller
TXN10140,CUST3116,2023-12-21,Bill Payment,72720.53,26,SME,463756.18,Mombasa,Bank Teller
TXN10141,CUST3388,2023-02-02,Deposit,5702.48,26,SME,309155.81,Eldoret,Mobile Banking
TXN10142,CUST4558,2023-04-29,Deposit,20894.97,19,SME,245053.38,Nakuru,Mobile Banking
TXN10143,CUST1604,2023-01-15,Fund Transfer,74466.98,61,Corporate,463331.28,Eldoret,Bank Teller
TXN10144,CUST1802,2023-05-11,Deposit,32038.92,25,Retail,488623.13,Nairobi,Online
TXN10145,CUST4658,2023-02-13,Fund Transfer,35638.71,45,Corporate,458014.12,Kisumu,ATM
TXN10146,CUST5945,2023-11-25,Loan Payment,61034.34,48,Corporate,413413.92,Kisumu,Mobile Banking
TXN10147,CUST7513,2023-11-09,Fund Transfer,97237.09,29,Corporate,11370.97,Nakuru,Online
TXN10148,CUST2882,2023-10-07,Bill Payment,56360.22,20,Retail,207038.57,Nairobi,Mobile Banking
TXN10149,CUST5299,2023-03-21,Withdrawal,47556.4,20,Corporate,375758.37,Eldoret,Bank Teller
TXN10150,CUST2901,2023-02-14,Deposit,25831.58,33,Retail,63852.15,Mombasa,Bank Teller
TXN10151,CUST3958,2023-12-09,Fund Transfer,69900.49,34,Corporate,87180.64,Nakuru,Online
TXN10152,CUST9525,2023-03-23,Withdrawal,90050.14,48,Corporate,114513.5,Eldoret,Mobile Banking
TXN10153,CUST4476,2023-01-04,Withdrawal,41689.74,62,SME,157820.23,Nairobi,ATM
TXN10154,CUST1222,2023-05-15,Withdrawal,6221.56,70,SME,42654.81,Nakuru,Mobile Banking
TXN10155,CUST3096,2023-10-06,Fund Transfer,48586.19,41,Retail,188426.47,Nakuru,Mobile Banking
TXN10156,CUST4701,2023-09-28,Fund Transfer,62749.92,66,SME,159426.31,Kisumu,ATM
TXN10157,CUST7016,2023-07-18,Loan Payment,66341.61,68,Retail,274535.62,Nairobi,ATM
TXN10158,CUST6005,2023-08-19,Bill Payment,4979.36,23,Retail,117193.67,Nairobi,Online
TXN10159,CUST8117,2023-11-21,Fund Transfer,46215.06,46,Corporate,1788.02,Kisumu,Online
TXN10160,CUST2109,2023-11-06,Deposit,67344.91,55,Retail,409680.64,Nairobi,Online
TXN10161,CUST4191,2023-07-25,Withdrawal,94633.32,67,SME,409333.0,Nairobi,ATM
TXN10162,CUST7022,2023-02-15,Deposit,53540.83,27,Retail,41777.21,Nairobi,ATM
TXN10163,CUST9658,2023-07-23,Fund Transfer,59762.82,18,SME,120093.2,Kisumu,Bank Teller
TXN10164,CUST8206,2023-01-21,Withdrawal,48797.73,38,SME,377906.66,Nairobi,Online
TXN10165,CUST6616,2023-01-16,Deposit,59018.0,64,Corporate,496580.27,Nairobi,Online
TXN10166,CUST7606,2023-05-23,Fund Transfer,39086.91,60,Retail,179186.99,Kisumu,Bank Teller
TXN10167,CUST6592,2023-03-21,Deposit,16485.81,45,Corporate,16321.36,Mombasa,Online
TXN10168,CUST3596,2023-10-12,Withdrawal,65476.85,62,SME,360837.62,Mombasa,ATM
TXN10169,CUST6256,2023-11-20,Fund Transfer,4511.0,33,Corporate,260539.92,Eldoret,ATM
TXN10170,CUST8140,2023-09-21,Bill Payment,7799.69,18,Retail,290627.67,Kisumu,Online
TXN10171,CUST3862,2023-05-05,Fund Transfer,89741.57,33,Retail,190824.34,Nakuru,ATM
TXN10172,CUST4706,2023-02-19,Withdrawal,16864.44,63,Corporate,82259.29,Eldoret,Online
TXN10173,CUST7329,2023-10-09,Deposit,64417.57,35,SME,306059.38,Nairobi,ATM
TXN10174,CUST5272,2023-06-29,Withdrawal,64664.24,70,Corporate,307742.36,Kisumu,Bank Teller
TXN10175,CUST4307,2023-04-06,Bill Payment,61736.08,20,Retail,306495.66,Nakuru,ATM
TXN10176,CUST4049,2023-04-20,Deposit,25023.59,52,Corporate,494556.77,Eldoret,ATM
TXN10177,CUST3119,2023-10-27,Fund Transfer,48867.32,28,Retail,208076.84,Nakuru,Online
TXN10178,CUST5884,2023-08-27,Fund Transfer,34550.52,23,Retail,354371.32,Eldoret,Mobile Banking
TXN10179,CUST3416,2023-02-03,Fund Transfer,35568.15,22,SME,364809.73,Kisumu,Bank Teller
TXN10180,CUST3227,2023-01-28,Loan Payment,79532.92,64,Corporate,110279.42,Kisumu,Bank Teller
TXN10181,CUST4799,2023-01-23,Deposit,16866.0,32,Retail,262933.71,Mombasa,Bank Teller
TXN10182,CUST9199,2023-09-10,Withdrawal,95141.27,40,Corporate,396458.87,Mombasa,Mobile Banking
TXN10183,CUST1308,2023-03-13,Withdrawal,70218.52,53,Corporate,295883.4,Eldoret,Bank Teller
TXN10184,CUST3667,2023-01-02,Loan Payment,43406.64,27,SME,298717.17,Nairobi,ATM
TXN10185,CUST2153,2023-03-02,Deposit,11439.13,34,Retail,230459.56,Kisumu,ATM
TXN10186,CUST8812,2023-11-04,Bill Payment,30060.77,38,SME,324023.42,Nairobi,ATM
TXN10187,CUST3791,2023-12-21,Fund Transfer,14986.21,38,SME,54532.91,Nakuru,Online
TXN10188,CUST3063,2023-05-13,Loan Payment,13320.84,36,Corporate,65421.64,Kisumu,Bank Teller
TXN10189,CUST6415,2023-01-25,Bill Payment,2986.95,22,Retail,346481.45,Nairobi,ATM
TXN10190,CUST5094,2023-02-16,Loan Payment,31398.13,30,Corporate,323943.15,Eldoret,Bank Teller
TXN10191,CUST2529,2023-05-16,Bill Payment,9585.18,64,Retail,109028.23,Mombasa,ATM
TXN10192,CUST7497,2023-10-20,Deposit,62694.98,20,SME,60491.32,Nairobi,Mobile Banking
TXN10193,CUST8447,2023-06-28,Loan Payment,91811.89,56,Corporate,355703.97,Nairobi,Bank Teller
TXN10194,CUST5831,2023-09-02,Fund Transfer,8220.51,33,Corporate,276949.62,Kisumu,Online
TXN10195,CUST9790,2023-03-31,Bill Payment,78510.07,51,Retail,321516.76,Mombasa,Mobile Banking
TXN10196,CUST2238,2023-09-17,Loan Payment,58166.95,36,SME,219069.44,Nakuru,Mobile Banking
TXN10197,CUST7981,2023-08-16,Bill Payment,19369.62,69,SME,314111.63,Mombasa,ATM
TXN10198,CUST1796,2023-07-20,Bill Payment,54662.34,40,Retail,444164.39,Kisumu,ATM
TXN10199,CUST1780,2023-07-20,Withdrawal,665.31,41,Corporate,22192.76,Nairobi,Online
TXN10200,CUST6599,2023-08-13,Withdrawal,95806.09,62,SME,39848.44,Kisumu,ATM
TXN10201,CUST8416,2023-07-01,Bill Payment,38227.61,68,Corporate,453002.68,Eldoret,Mobile Banking
TXN10202,CUST6457,2023-10-21,Fund Transfer,48474.77,57,Corporate,255570.55,Mombasa,Online
TXN10203,CUST5247,2023-11-05,Withdrawal,70404.26,55,SME,350929.6,Nairobi,ATM
TXN10204,CUST8837,2023-11-24,Loan Payment,64252.42,68,Retail,97744.78,Mombasa,Bank Teller
TXN10205,CUST6936,2023-02-09,Withdrawal,78383.14,44,SME,335910.84,Eldoret,ATM
TXN10206,CUST8880,2023-11-09,Fund Transfer,95406.27,61,Corporate,244125.91,Nairobi,Online
TXN10207,CUST6675,2023-06-16,Fund Transfer,11598.65,62,SME,262107.78,Eldoret,Bank Teller
TXN10208,CUST9617,2023-11-04,Fund Transfer,69235.37,61,SME,261503.52,Eldoret,Mobile Banking
TXN10209,CUST2308,2023-03-29,Bill Payment,25690.0,21,SME,266802.84,Mombasa,ATM
TXN10210,CUST1373,2023-01-17,Withdrawal,41548.67,22,Retail,13413.11,Eldoret,Online
TXN10211,CUST2667,2023-02-13,Loan Payment,32731.71,24,Retail,399240.95,Nakuru,Online
TXN10212,CUST9366,2024-01-01,Loan Payment,11900.68,23,Corporate,403958.42,Eldoret,Mobile Banking
TXN10213,CUST3976,2023-05-18,Fund Transfer,65853.69,55,Retail,487781.71,Nairobi,Mobile Banking
TXN10214,CUST2768,2023-10-18,Bill Payment,99187.23,54,SME,124852.62,Eldoret,Online
TXN10215,CUST7552,2023-08-15,Deposit,83882.99,68,Corporate,439276.47,Nairobi,Mobile Banking
TXN10216,CUST9059,2023-05-15,Deposit,74472.01,51,SME,381023.51,Mombasa,ATM
TXN10217,CUST6056,2023-12-02,Bill Payment,76408.69,44,Corporate,370378.11,Nakuru,Bank Teller
TXN10218,CUST2564,2023-01-10,Loan Payment,4122.24,45,Retail,35173.45,Eldoret,Online
TXN10219,CUST4721,2023-03-12,Withdrawal,81846.54,69,Retail,178722.16,Nakuru,ATM
TXN10220,CUST4795,2023-10-23,Withdrawal,51352.12,45,Corporate,456494.42,Nakuru,ATM
TXN10221,CUST3553,2023-05-15,Deposit,27639.21,25,SME,290690.36,Eldoret,Mobile Banking
TXN10222,CUST4198,2023-04-30,Withdrawal,64183.49,56,Retail,495062.06,Eldoret,Bank Teller
TXN10223,CUST5899,2023-12-10,Bill Payment,31789.39,18,SME,365652.51,Eldoret,Bank Teller
TXN10224,CUST8634,2023-07-20,Deposit,19452.35,36,SME,201303.92,Eldoret,ATM
TXN10225,CUST7560,2023-08-22,Withdrawal,69278.23,67,SME,429902.94,Nakuru,Online
TXN10226,CUST9502,2023-12-24,Loan Payment,88139.17,41,SME,266858.64,Nairobi,Mobile Banking
TXN10227,CUST9842,2023-10-09,Fund Transfer,45339.11,50,Corporate,182984.65,Nairobi,ATM
TXN10228,CUST9295,2023-07-03,Withdrawal,20636.9,22,SME,173925.38,Nakuru,Bank Teller
TXN10229,CUST7344,2023-08-05,Withdrawal,49136.56,43,Corporate,223573.7,Nakuru,Online
TXN10230,CUST5615,2023-05-29,Loan Payment,12807.62,35,Corporate,77713.44,Nairobi,Online
TXN10231,CUST1727,2023-12-06,Fund Transfer,56912.02,21,SME,18421.09,Mombasa,ATM
TXN10232,CUST2887,2023-01-22,Withdrawal,66693.69,31,Corporate,122921.85,Nairobi,Mobile Banking
TXN10233,CUST4184,2023-03-13,Fund Transfer,49067.92,52,Retail,244456.77,Mombasa,Bank Teller
TXN10234,CUST5456,2023-11-21,Withdrawal,54818.03,30,SME,5678.72,Mombasa,Mobile Banking
TXN10235,CUST7977,2023-03-11,Withdrawal,9473.18,65,SME,184783.61,Nairobi,Mobile Banking
TXN10236,CUST8466,2023-12-19,Loan Payment,60376.68,58,Corporate,168653.45,Nairobi,Online
TXN10237,CUST9963,2023-10-13,Loan Payment,85957.42,22,Retail,252842.36,Nairobi,ATM
TXN10238,CUST6905,2023-09-08,Loan Payment,31212.06,67,SME,255866.14,Mombasa,Online
TXN10239,CUST8635,2023-02-25,Fund Transfer,49831.27,43,Corporate,396858.13,Kisumu,ATM
TXN10240,CUST7063,2023-06-03,Bill Payment,77782.67,34,SME,438580.06,Eldoret,Mobile Banking
TXN10241,CUST7768,2023-05-31,Deposit,67273.33,52,Retail,341392.84,Nairobi,Mobile Banking
TXN10242,CUST1159,2023-02-10,Bill Payment,38895.26,19,Corporate,25441.84,Kisumu,ATM
TXN10243,CUST2810,2023-03-20,Deposit,8931.44,41,Corporate,231644.59,Eldoret,Bank Teller
TXN10244,CUST9908,2023-01-30,Loan Payment,61750.77,48,SME,479548.24,Kisumu,Mobile Banking
TXN10245,CUST7676,2023-04-29,Deposit,39791.95,50,SME,277771.12,Nairobi,ATM
TXN10246,CUST3608,2023-02-10,Withdrawal,52287.62,48,Retail,58583.59,Kisumu,Mobile Banking
TXN10247,CUST6257,2023-02-10,Loan Payment,23612.82,53,Corporate,255788.34,Kisumu,Bank Teller
TXN10248,CUST3607,2023-03-30,Fund Transfer,81045.07,29,Retail,135036.39,Eldoret,Bank Teller
TXN10249,CUST2890,2023-03-14,Fund Transfer,85409.58,46,Retail,124109.04,Mombasa,Bank Teller
TXN10250,CUST6117,2023-07-24,Withdrawal,23974.06,51,Retail,144830.35,Nairobi,Bank Teller
TXN10251,CUST2827,2023-07-25,Withdrawal,57649.53,57,Retail,344678.13,Kisumu,ATM
TXN10252,CUST3756,2023-08-10,Fund Transfer,35442.85,36,Retail,297435.16,Kisumu,Mobile Banking
TXN10253,CUST7819,2023-08-16,Deposit,88440.73,26,SME,300527.93,Kisumu,Bank Teller
TXN10254,CUST2702,2023-12-18,Withdrawal,53649.65,45,Corporate,3485.58,Eldoret,Bank Teller
TXN10255,CUST8348,2023-10-13,Bill Payment,88888.4,61,SME,395520.84,Nakuru,ATM
TXN10256,CUST3240,2023-07-19,Loan Payment,82074.96,38,Retail,178367.7,Mombasa,ATM
TXN10257,CUST3383,2023-12-29,Bill Payment,27287.02,57,Retail,41356.31,Eldoret,Mobile Banking
TXN10258,CUST3017,2023-07-04,Bill Payment,94575.66,51,Corporate,27257.9,Mombasa,ATM
TXN10259,CUST6395,2023-10-10,Bill Payment,69408.01,30,SME,358325.89,Mombasa,Bank Teller
